timestamp,face_id,emotion,confidence
2025-06-06 20:32:24,1,happy,99.46
2025-06-06 20:32:25,1,happy,99.15
2025-06-06 20:32:25,1,happy,99.20
2025-06-06 20:32:25,1,happy,99.65
2025-06-06 20:32:25,1,happy,99.30
2025-06-06 20:32:25,1,happy,98.71
2025-06-06 20:32:26,1,happy,99.03
2025-06-06 20:32:26,1,happy,98.29
2025-06-06 20:32:26,1,happy,99.38
2025-06-06 20:32:26,1,happy,99.84
2025-06-06 20:32:26,1,happy,99.56
2025-06-06 20:32:27,1,happy,99.93
2025-06-06 20:32:27,1,happy,99.98
2025-06-06 20:32:27,1,happy,99.92
2025-06-06 20:32:27,1,happy,99.83
2025-06-06 20:32:27,1,happy,94.00
2025-06-06 20:32:28,1,happy,99.93
2025-06-06 20:32:28,1,happy,99.35
2025-06-06 20:32:28,1,happy,99.59
2025-06-06 20:32:28,1,happy,99.94
2025-06-06 20:32:28,1,happy,99.97
2025-06-06 20:32:29,1,happy,99.96
2025-06-06 20:32:29,1,happy,99.90
2025-06-06 20:32:29,1,happy,99.71
2025-06-06 20:32:29,1,happy,99.95
2025-06-06 20:32:29,1,happy,99.67
2025-06-06 20:32:30,1,happy,99.98
2025-06-06 20:32:30,1,happy,97.91
2025-06-06 20:32:30,1,happy,93.35
2025-06-06 20:32:30,1,happy,91.73
2025-06-06 20:32:30,1,neutral,60.02
2025-06-06 20:32:31,1,happy,79.80
2025-06-06 20:32:31,1,happy,86.48
2025-06-06 20:32:31,1,neutral,86.59
2025-06-06 20:32:31,1,neutral,76.82
2025-06-06 20:32:31,1,neutral,82.21
2025-06-06 20:32:32,1,neutral,88.09
2025-06-06 20:32:32,1,neutral,92.88
2025-06-06 20:32:32,1,neutral,68.20
2025-06-06 20:32:32,1,neutral,56.89
2025-06-06 20:32:32,1,neutral,48.27
2025-06-06 20:32:32,1,neutral,75.79
2025-06-06 20:32:33,1,neutral,86.76
2025-06-06 20:32:33,1,fear,56.44
2025-06-06 20:32:33,1,sad,38.73
2025-06-06 20:32:33,1,angry,35.68
2025-06-06 20:32:33,1,angry,68.47
2025-06-06 20:32:33,1,angry,63.86
2025-06-06 20:32:33,1,angry,64.85
2025-06-06 20:32:34,1,angry,51.53
2025-06-06 20:32:34,1,angry,55.35
2025-06-06 20:32:34,1,angry,78.10
2025-06-06 20:32:34,1,angry,66.88
2025-06-06 20:32:34,1,angry,90.79
2025-06-06 20:32:34,1,angry,68.95
2025-06-06 20:32:34,1,angry,92.24
2025-06-06 20:32:35,1,angry,90.56
2025-06-06 20:32:35,1,angry,99.78
2025-06-06 20:32:35,1,angry,97.16
2025-06-06 20:32:35,1,angry,87.58
2025-06-06 20:32:35,1,angry,87.09
2025-06-06 20:32:35,1,angry,91.56
2025-06-06 20:32:35,1,angry,76.38
2025-06-06 20:32:36,1,angry,71.08
2025-06-06 20:32:36,1,neutral,68.80
2025-06-06 20:32:36,1,sad,39.60
2025-06-06 20:32:36,1,neutral,94.35
2025-06-06 20:32:36,1,neutral,94.83
2025-06-06 20:32:37,1,neutral,72.48
2025-06-06 20:32:37,1,neutral,79.05
2025-06-06 20:32:37,1,neutral,93.49
2025-06-06 20:32:37,1,neutral,97.89
2025-06-06 20:32:37,1,neutral,98.90
2025-06-06 20:32:37,1,neutral,95.42
2025-06-06 20:32:38,1,neutral,99.20
2025-06-06 20:32:38,1,neutral,98.49
2025-06-06 20:32:38,1,neutral,99.68
2025-06-06 20:32:38,1,neutral,99.50
2025-06-06 20:32:38,1,neutral,97.13
2025-06-06 20:32:39,1,neutral,99.50
2025-06-06 20:32:39,1,neutral,98.47
2025-06-06 20:32:39,1,neutral,99.29
2025-06-06 20:32:39,1,neutral,98.99
2025-06-06 20:32:39,1,happy,80.79
2025-06-06 20:32:39,2,neutral,98.97
2025-06-06 20:32:40,1,happy,90.97
2025-06-06 20:32:40,2,neutral,98.93
2025-06-06 20:32:40,1,happy,81.28
2025-06-06 20:32:40,2,neutral,98.27
2025-06-06 20:32:40,1,happy,98.08
2025-06-06 20:32:40,2,neutral,98.55
2025-06-06 20:32:40,1,neutral,98.52
2025-06-06 20:32:40,2,happy,99.85
2025-06-06 20:32:40,1,happy,97.13
2025-06-06 20:32:40,2,neutral,99.37
2025-06-06 20:32:41,1,neutral,99.62
2025-06-06 20:32:41,2,happy,88.71
2025-06-06 20:32:41,1,neutral,99.82
2025-06-06 20:32:41,2,happy,88.51
2025-06-06 20:32:41,1,neutral,98.22
2025-06-06 20:32:41,2,angry,42.02
2025-06-06 20:32:42,1,neutral,96.82
2025-06-06 20:32:42,2,neutral,49.19
2025-06-06 20:32:42,1,neutral,97.87
2025-06-06 20:32:42,2,neutral,49.01
2025-06-06 20:32:42,1,neutral,99.41
2025-06-06 20:32:42,2,neutral,53.58
2025-06-06 20:32:42,1,neutral,99.74
2025-06-06 20:32:42,2,sad,44.36
2025-06-06 20:32:43,1,neutral,99.26
2025-06-06 20:32:43,2,disgust,99.09
2025-06-06 20:32:43,1,neutral,99.60
2025-06-06 20:32:43,2,angry,80.65
2025-06-06 20:32:43,1,neutral,99.91
2025-06-06 20:32:43,2,angry,94.56
2025-06-06 20:32:44,1,neutral,52.44
